layer_idx,coverage_ratio,mean_abs_diff
0,0.03225806451612903,0.006143569014966488
0,0.03333333333333333,0.006134059280157089
0,0.06451612903225806,0.005931812105700374
0,0.06666666666666667,0.005922804120928049
0,0.0967741935483871,0.005720135290175676
0,0.1,0.0057116178795695305
0,0.12903225806451613,0.00486082723364234
0,0.13333333333333333,0.004854542203247547
0,0.16129032258064516,0.004854542203247547
0,0.2,0.0045551457442343235
14,0.03225806451612903,0.0013475434388965368
14,0.03333333333333333,0.0006707118591293693
14,0.06451612903225806,0.0006707118591293693
14,0.06666666666666667,0.0005140688153915107
14,0.0967741935483871,0.0005140688153915107
14,0.1,0.00038486611447297037
14,0.13333333333333333,0.00031210307497531176
14,0.16129032258064516,0.00031210307497531176
14,0.2,0.0002260850160382688
27,0.03225806451612903,0.04300563782453537
27,0.03333333333333333,0.040677621960639954
27,0.06451612903225806,0.040677621960639954
27,0.06666666666666667,0.039616458117961884
27,0.0967741935483871,0.039616458117961884
27,0.1,0.03760193660855293
27,0.13333333333333333,0.035690005868673325
27,0.16129032258064516,0.035690005868673325
27,0.2,0.033717092126607895
