prompt_type,coverage_ratio,mean_abs_diff
prose,0.03225806451612903,0.04300563782453537
prose,0.03333333333333333,0.040677621960639954
prose,0.06451612903225806,0.040677621960639954
prose,0.06666666666666667,0.039616458117961884
prose,0.0967741935483871,0.039616458117961884
prose,0.1,0.03760193660855293
prose,0.13333333333333333,0.035690005868673325
prose,0.16129032258064516,0.035690005868673325
prose,0.2,0.033717092126607895
repetitive,0.03225806451612903,0.04120797663927078
repetitive,0.03333333333333333,0.03869112581014633
repetitive,0.06451612903225806,0.03869112581014633
repetitive,0.06666666666666667,0.03656751289963722
repetitive,0.0967741935483871,0.03656751289963722
repetitive,0.1,0.03564123436808586
repetitive,0.13333333333333333,0.03430263698101044
repetitive,0.16129032258064516,0.03430263698101044
repetitive,0.2,0.03242418169975281
structured,0.03225806451612903,0.04467090964317322
structured,0.03333333333333333,0.03164351359009743
structured,0.06451612903225806,0.03164351359009743
structured,0.06666666666666667,0.028622081503272057
structured,0.0967741935483871,0.028622081503272057
structured,0.1,0.026059918105602264
structured,0.13333333333333333,0.022470682859420776
structured,0.16129032258064516,0.022470682859420776
structured,0.2,0.0194382444024086
