step_idx,generated_token_id,layer0_top_k,layer0_selected_block_ids,layer0_candidate_k_len,layer0_working_k_len,layer0_coverage_ratio,layer0_working_ratio,layer0_is_contiguous,layer14_top_k,layer14_selected_block_ids,layer14_candidate_k_len,layer14_working_k_len,layer14_coverage_ratio,layer14_working_ratio,layer14_is_contiguous,layer27_top_k,layer27_selected_block_ids,layer27_candidate_k_len,layer27_working_k_len,layer27_coverage_ratio,layer27_working_ratio,layer27_is_contiguous
0,16275,1,[14],256,512,0.066649,0.124969,True,1,[15],1,257,0.000260,0.062729,True,7,"[15, 3, 4, 14, 13, 2, 5]",1537,1793,0.400156,0.437637,False
1,16275,1,[14],256,512,0.066632,0.124939,True,1,[15],2,258,0.000521,0.062958,True,7,"[15, 14, 13, 12, 3, 2, 4]",1538,1794,0.400312,0.437775,False
2,13,1,[14],256,512,0.066615,0.124909,True,1,[15],3,259,0.000781,0.063186,True,7,"[15, 14, 12, 13, 3, 11, 2]",1539,1795,0.400468,0.437912,False
3,2480,1,[14],256,512,0.066597,0.124878,True,1,[15],4,260,0.001041,0.063415,True,7,"[14, 12, 15, 13, 11, 4, 9]",1540,1796,0.400624,0.438049,False
4,2480,1,[14],256,512,0.066580,0.124848,True,1,[15],5,261,0.001300,0.063643,True,7,"[14, 12, 13, 4, 3, 10, 11]",1792,2048,0.466060,0.499390,False
5,6529,1,[14],256,512,0.066563,0.124817,True,1,[15],6,262,0.001560,0.063871,True,7,"[14, 13, 12, 15, 3, 4, 2]",1542,1798,0.400936,0.438323,False
6,13,1,[14],256,512,0.066545,0.124787,True,1,[15],7,263,0.001820,0.064099,True,7,"[14, 3, 4, 12, 13, 2, 1]",1792,2048,0.465818,0.499147,False
7,46172,1,[14],256,512,0.066528,0.124756,True,1,[15],8,264,0.002079,0.064327,True,7,"[15, 14, 13, 12, 4, 3, 11]",1544,1800,0.401247,0.438596,False
8,2480,1,[14],256,512,0.066511,0.124726,True,1,[15],9,265,0.002338,0.064555,True,7,"[2, 3, 4, 1, 14, 13, 10]",1792,2048,0.465575,0.498904,False
9,10191,1,[14],256,512,0.066494,0.124696,True,1,[15],10,266,0.002597,0.064783,True,7,"[14, 15, 13, 12, 10, 11, 4]",1546,1802,0.401558,0.438870,False
10,323,1,[14],256,512,0.066476,0.124665,True,1,[15],11,267,0.002856,0.065011,True,7,"[14, 15, 12, 4, 13, 10, 11]",1547,1803,0.401714,0.439007,False
11,279,1,[14],256,512,0.066459,0.124635,True,1,[15],12,268,0.003115,0.065239,True,7,"[14, 13, 12, 4, 3, 15, 2]",1548,1804,0.401869,0.439143,False
12,46172,1,[14],256,512,0.066442,0.124605,True,1,[15],13,269,0.003374,0.065466,True,7,"[14, 15, 12, 13, 11, 4, 10]",1549,1805,0.402024,0.439280,False
13,323,1,[14],256,512,0.066424,0.124574,True,1,[15],14,270,0.003633,0.065693,True,7,"[14, 15, 13, 12, 11, 10, 4]",1550,1806,0.402180,0.439416,False
14,320,1,[14],256,512,0.066407,0.124544,True,1,[14],256,512,0.066407,0.124544,True,7,"[15, 14, 11, 13, 12, 10, 9]",1551,1807,0.402335,0.439552,True
15,323,1,[14],256,512,0.066390,0.124514,True,1,[15],16,272,0.004149,0.066148,True,7,"[14, 15, 13, 4, 12, 9, 3]",1552,1808,0.402490,0.439689,False
